ID,TITULO,ARTISTA,GENERO,ANO
488,Get Low (with Liam Payne),Zedd,Complextro,2017
489,Kissing Strangers,DNCE,Dance Pop,2017
490,Slow Hands,Niall Horan,Dance Pop,2017
491,Younger Now,Miley Cyrus,Dance Pop,2017
492,Body Moves,DNCE,Dance Pop,2017
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,Belgian Edm,2017
494,Angel,Fifth Harmony,Dance Pop,2017
495,Touch (feat. Kid Ink),Little Mix,Dance Pop,2017
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,Dance Pop,2017
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,Downtempo,2017
498,No Vacancy (with Sebastián Yatra),OneRepublic,Dance Pop,2017
499,Rich Boy,Galantis,Big Room,2017
500,Lust for Life (with The Weeknd),Lana Del Rey,Art Pop,2017
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,Dance Pop,2017
502,Influence,Tove Lo,Dance Pop,2017
503,Remember I Told You,Nick Jonas,Dance Pop,2017
504,Messin' Around,Pitbull,Dance Pop,2017
505,Water Under the Bridge,Adele,British Soul,2017
506,Free Me,Sia,Australian Dance,2017
507,Kissing Strangers - Remix,DNCE,Dance Pop,2017
508,A L I E N S,Coldplay,Permanent Wave,2017
509,One Kiss (with Dua Lipa),Calvin Harris,Dance Pop,2018
510,Havana (feat. Young Thug),Camila Cabello,Dance Pop,2018
511,I Like It,Cardi B,Pop,2018
512,New Rules,Dua Lipa,Dance Pop,2018
513,There's Nothing Holdin' Me Back,Shawn Mendes,Canadian Pop,2018
514,no tears left to cry,Ariana Grande,Dance Pop,2018
515,IDGAF,Dua Lipa,Dance Pop,2018
516,In My Blood,Shawn Mendes,Canadian Pop,2018
517,Wolves,Selena Gomez,Dance Pop,2018
518,Dusk Till Dawn - Radio Edit,ZAYN,Dance Pop,2018
519,Attention,Charlie Puth,Dance Pop,2018
520,Electricity (with Dua Lipa),Silk City,Edm,2018
521,Love On The Brain,Rihanna,Barbadian Pop,2018
523,Silence,Marshmello,Brostep,2018
524,Sorry Not Sorry,Demi Lovato,Dance Pop,2018
525,Shallow - Radio Edit,Lady Gaga,Dance Pop,2018
526,These Days,Rudimental,Dance Pop,2018
527,What Lovers Do (feat. SZA),Maroon 5,Pop,2018
528,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Pop,2018
529,Bad At Love,Halsey,Dance Pop,2018
530,Him & I (with Halsey),G-Eazy,Hip Hop,2018
531,Friends (with BloodPop®),Justin Bieber,Canadian Pop,2018
532,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Dance Pop,2018
533,My My My!,Troye Sivan,Dance Pop,2018
534,Capital Letters,Hailee Steinfeld,Dance Pop,2018
535,Sick Boy,The Chainsmokers,Electropop,2018
536,Tequila,Dan + Shay,Contemporary Country,2018
537,Look What You Made Me Do,Taylor Swift,Pop,2018
538,Youth (feat. Khalid),Shawn Mendes,Canadian Pop,2018
539,Bad Liar,Selena Gomez,Dance Pop,2018
540,Anywhere,Rita Ora,Dance Pop,2018
541,Say Something,Justin Timberlake,Dance Pop,2018
542,Chun-Li,Nicki Minaj,Dance Pop,2018
543,Sign of the Times,Harry Styles,Dance Pop,2018
544,Familiar,Liam Payne,Dance Pop,2018
545,Let Me,ZAYN,Dance Pop,2018
546,Supernova,Ansel Elgort,Dance Pop,2018
547,Nervous,Shawn Mendes,Canadian Pop,2018
548,First Time,Kygo,Edm,2018
549,End Game,Taylor Swift,Pop,2018
550,Mi Gente (feat. Beyoncé),J Balvin,Latin,2018
551,Lemon,N.E.R.D,Hip Hop,2018
552,For You (With Rita Ora),Liam Payne,Dance Pop,2018
553,Want To,Dua Lipa,Dance Pop,2018
554,What I Need (feat. Kehlani),Hayley Kiyoko,Dance Pop,2018
555,Wait,Maroon 5,Pop,2018
556,What About Us,P!nk,Dance Pop,2018
557,Kissing Strangers,DNCE,Dance Pop,2018
558,2U (feat. Justin Bieber),David Guetta,Dance Pop,2018
559,Walk On Water (feat. Beyoncé),Eminem,Detroit Hip Hop,2018
560,This Town,Niall Horan,Dance Pop,2018
562,MOVE TO MIAMI,Enrique Iglesias,Dance Pop,2018
563,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,Downtempo,2018
564,Filthy,Justin Timberlake,Dance Pop,2018
565,Never Be the Same - Radio Edit,Camila Cabello,Dance Pop,2018
566,Ferrari,Bebe Rexha,Dance Pop,2018
567,Supplies,Justin Timberlake,Dance Pop,2018
568,Boom Boom,RedOne,Moroccan Pop,2018
569,...Ready For It? - BloodPop® Remix,Taylor Swift,Pop,2018
570,Drip (feat. Migos),Cardi B,Pop,2018
571,Tell Me You Love Me - NOTD Remix,Demi Lovato,Dance Pop,2018
572,Memories,Maroon 5,Pop,2019
573,Lose You To Love Me,Selena Gomez,Dance Pop,2019
574,Someone You Loved,Lewis Capaldi,Pop,2019
575,Señorita,Shawn Mendes,Canadian Pop,2019
576,How Do You Sleep?,Sam Smith,Pop,2019
577,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Pop,2019
578,Trampoline (with ZAYN),SHAED,Electropop,2019
579,Happier,Marshmello,Brostep,2019
580,Truth Hurts,Lizzo,Escape Room,2019
581,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Escape Room,2019
582,Higher Love,Kygo,Edm,2019
583,Only Human,Jonas Brothers,Boy Band,2019
584,Beautiful People (feat. Khalid),Ed Sheeran,Pop,2019
585,Sucker,Jonas Brothers,Boy Band,2019
586,Don't Call Me Up,Mabel,Dance Pop,2019
587,I Don't Care (with Justin Bieber),Ed Sheeran,Pop,2019
588,Talk (feat. Disclosure),Khalid,Alternative R&B,2019
589,Giant (with Rag'n'Bone Man),Calvin Harris,Dance Pop,2019
590,Takeaway,The Chainsmokers,Electropop,2019
591,All Around The World (La La La),R3HAB,Big Room,2019
592,Girls Like You (feat. Cardi B),Maroon 5,Pop,2019
593,Call You Mine,The Chainsmokers,Electropop,2019
594,No Guidance (feat. Drake),Chris Brown,Dance Pop,2019
595,Antisocial (with Travis Scott),Ed Sheeran,Pop,2019
597,Con Calma - Remix,Daddy Yankee,Latin,2019
598,Find U Again (feat. Camila Cabello),Mark Ronson,Dance Pop,2019
599,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Pop,2019
601,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Dance Pop,2019
602,Kills You Slowly,The Chainsmokers,Electropop,2019
